,bh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
32,0.059,0.10933037180824745,0.001081976160711797,0.1725307191975312,1.471246688873905,1.3544191570624777,1.6586752204370143,1.4390652893251168,1.2866152018856112,1.5807614370608478,0.2189892818519491,0.032320607186986,0.4483536804094293
33,0.06,0.06760661835902278,0.009580680688864102,0.1731192217038881,1.4431773031746409,1.234386878846955,1.590318830738001,1.278852734775103,0.8804527374471236,1.506359704272144,0.09809556594294544,0.014313197428154156,0.34804460677342275
34,0.061,0.04917638327163421,0.013805727741034451,0.08913101033559062,1.4648890476052692,1.3747853191152568,1.5850482549067848,1.3945238738189483,1.0832002105137721,1.5543988274630676,0.20764428550091138,0.04423792257875833,0.4262729879193651
35,0.062,0.06398473955873378,0.0037015388645950105,0.1103794291270732,1.460622515335835,1.310670492246696,1.6374521415995775,1.455163651494127,1.154806722923074,1.5781173102672321,0.15119998939304702,0.006110193233678281,0.37135535564915795
36,0.063,0.11591359380791931,0.057848989603095355,0.1716556138445503,1.554228979598079,1.4353901101429496,1.6780194686138388,1.5564265411523353,1.5091532199330937,1.605669584089045,0.06256113064472708,0.012144562630497884,0.11096103593838709
37,0.064,0.0711010297797465,0.012353566505179813,0.3072485081921392,1.3328472071798736,1.0682260995902306,1.5833588162100467,1.4470990012153506,1.213078898447119,1.5757294687492838,0.17899444291838418,0.01187039070882656,0.3650740784576802
38,0.065,0.04919200193197261,0.01635927085671939,0.183516164574298,1.6148135346357722,1.1824674546556144,1.883818183317345,1.4448765194023243,1.2636652006232099,1.6951992405971195,0.25041940832293585,0.13602481691614732,0.5083937079085753
39,0.066,0.07554320154942727,0.014445692886005222,0.1755857403830055,1.4341367672526661,1.2674401271243687,1.6499677237324575,1.4691620341085103,1.1964752899343087,1.6534847727568291,0.17703165392234674,0.03631137497858441,0.31320210406857024
40,0.067,0.07976971234762714,0.0019880947707381458,0.14808514906542738,1.3814029784996844,1.0863878552037876,1.700543537241129,1.4482955901514016,1.3707158816062646,1.5595728466202319,0.10097298091871124,0.03894631763774205,0.24371265202007697
41,0.068,0.046973913387666294,0.00984694473534068,0.10962617146008048,1.606461732695466,1.1695092902795172,1.8424598130477225,1.513940352771837,1.253604181910186,1.6957105085163737,0.1570391883416033,0.010855456039909199,0.36433583635057687
42,0.069,0.048778133324613476,0.008969779665830941,0.07835273627396491,1.5113692614292942,1.4372032567070858,1.6456046394704456,1.4369091994175787,1.2648137666501433,1.4982096152615298,0.1984624200510553,0.1253481791434081,0.2706912027505728
43,0.07,0.06972602592970045,0.021009928233144747,0.0973014149752518,1.513087055739234,1.4019095250285765,1.5872678593250433,1.4133259843370636,1.3091125897657387,1.5794314051842442,0.21930747632859462,0.012735537350608006,0.3480460682131786
44,0.071,0.13012544102329948,0.014843415270558087,0.23087755634026025,1.4199069717518122,1.2958146499286718,1.584901069445147,1.6017405932950084,1.4786883813991558,1.8573400059757506,0.13755084194359857,0.008251815218251114,0.39152093492109824
45,0.072,0.05293717995094604,0.009152505452700833,0.1714589001245841,1.4661762016245818,1.2784651044944495,1.590066980569971,1.3859806073625782,1.1484803473518508,1.6038388104568266,0.18724238346196537,0.059998830946448034,0.43748306757179195
46,0.073,0.12960480049057937,0.0678209904853699,0.1783689058053775,1.3362290995536614,1.0947768744637703,1.6418033448837823,1.4682138561318951,1.292160803341016,1.6149356450732801,0.20511452332315333,0.11360705896286408,0.3342220196803533
47,0.074,0.03576757552927055,0.003511495299455291,0.10615201675464002,1.3810060529986765,1.1752543784758098,1.6515172561017968,1.472539858924739,1.3017871941472354,1.6506352062996366,0.2595379092840595,0.18563755384564906,0.41270395562101553
48,0.075,0.09735321841297605,0.0074158802412085,0.18473393101846164,1.4458080804633289,1.318561632815282,1.5838456282022544,1.506707511664503,1.2957893849627475,1.617644912572193,0.11338925082002282,0.04364863857146345,0.34147591983329434
49,0.076,0.0677677360810016,0.0638773161353013,0.07511630708954661,1.2745714949565692,1.2300940242328329,1.358584495212516,1.3681502933693124,1.2683467219829034,1.4209874782209408,0.18733313026411938,0.0744638796892815,0.40053060357214654
50,0.077,0.06594974088962682,0.021268281115164777,0.15701036498313198,1.4136750217718086,1.1621134893099598,1.5596132522280612,1.4022421400712914,1.117306433044218,1.6433440300310955,0.14862671640190678,0.003125331866368566,0.2524370435794834
51,0.078,0.03057034419213102,0.0054161163690334795,0.09990582581419927,1.5146140648894981,1.3037200678834457,1.7981288509013993,1.3938935417575393,1.183607149435793,1.5968220469129741,0.22109853088710346,0.08186941720097489,0.3921169616320517
52,0.079,0.04450404422959968,0.004784580297450946,0.10853559149636324,1.4605937379205636,1.3278427420091585,1.5779007817699389,1.3907322495987318,1.1928293745024838,1.58113743788541,0.18743696467075122,0.07413180012248495,0.4420556321409024
53,0.08,0.06350472017733906,0.0011701473620078346,0.1496224347962893,1.373038820771714,1.3156966340525487,1.4022356465780055,1.2655034365436648,1.0822456536627223,1.4192800579793328,0.33223797748715084,0.056455206343557385,0.4473829749106648
54,0.081,0.03223261159033754,0.015280079011711899,0.053550115584132356,1.618444156550363,1.5311235236124383,1.7040803112256595,1.58043836757052,1.5521437130837188,1.6272013707315536,0.04664969511814455,0.02239176765239912,0.10291073261086649
55,0.082,0.07202576735996061,0.04439913351494387,0.0956350564119972,1.5066149743196993,1.3097912232215785,1.6804324602020426,1.4380299735196327,1.3465046526123334,1.481242366405463,0.08261915641835242,0.044720889021709766,0.10491927928086883
56,0.083,0.14279762946012312,0.1025463604929973,0.17418397297428226,1.4576493813502995,1.387538017070123,1.5648688414877057,1.3283645598581537,1.0958585984879958,1.4875962014969177,0.18885654566397717,0.06773717461604978,0.44612228800651926
57,0.084,0.0534593020545582,0.03295313753442235,0.07842332842689748,1.4014496207186362,1.3268401683785882,1.4627359565693896,1.3432065125983472,1.2569987016064144,1.414020071627435,0.28022586738643923,0.20182047949896936,0.37567590481466334
58,0.085,0.09146888898998473,0.025312377949406287,0.2077293344574137,1.5214289589064716,1.4081748629294764,1.6134762740935127,1.4796174706411183,1.2221567144932381,1.783268983077223,0.2528358880744258,0.08667885062964427,0.3638453079835598
59,0.086,0.032778444108033745,0.0012192552704373642,0.07423690395170333,1.3861095035934705,1.0190630087885746,1.5837277250669077,1.379314160467716,1.3141483625693233,1.4295138231427413,0.13344378855347708,0.08871549023522296,0.1738256837398111
