,kh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
47,0.071,0.07002973602111555,0.024623966792603813,0.13156185464030828,1.6637574293811503,1.2960147610242732,1.9869896160588143,1.332825984538157,0.9160038479278767,1.4962944263036169,0.25214244467281494,0.03787310233420293,0.4098134569626717
48,0.072,0.1025014062926981,0.023831838748129122,0.16546400626400362,1.611587392647984,0.9838546159661681,1.890514147123904,1.5297898134657153,1.2636741061595531,1.7472068542087351,0.13903175624504216,0.0258557804727129,0.2230225670946778
49,0.073,0.08139000635069917,0.023158624748542966,0.19686903221788618,1.7938469688385414,1.274815002200891,2.3010869888155483,1.563177467682888,1.2001107118641474,2.1293646185314357,0.21646628990207012,0.0024896213146137613,0.6214832356501794
50,0.074,0.09457992272207492,0.025659897350194517,0.2285402768592585,1.7083355590399238,1.3329189544057714,2.0120380970251213,1.6682142941180897,1.4764116599507116,1.852552565361291,0.20173095612511122,0.058021218681309196,0.4359535294676221
51,0.075,0.051936707361051285,0.026448052966414084,0.1371985902537159,1.6897236617303562,1.342080824290554,1.9439651889520972,1.413837611608854,1.12022020118099,1.6563156022363155,0.19295420068007552,0.09580183789470866,0.4002212059384618
52,0.076,0.020135590020150945,0.011903754494634182,0.02964855355550422,1.5363946034760796,1.4791412202695065,1.6206385557748078,1.4972485908333815,1.4298771875618732,1.6030024100844027,0.17674659986526328,0.0528631229413348,0.3474348352360646
53,0.077,0.12914025849325975,0.07636691402717875,0.23607471733975455,1.6511123297849921,1.6103589051453775,1.709938656010765,1.3283472829698528,1.2360155250589422,1.5122181027823975,0.1737342671249918,0.0866880379112205,0.2749822736218795
54,0.078,0.08515597326392077,0.02787298058148332,0.20100222655879943,1.6791342015575095,1.406044464756323,2.021877749042063,1.4534878636189688,0.5179373353555708,1.836119749842948,0.19304640945016582,0.05345488275909671,0.3119084141387653
55,0.079,0.10038904235348714,0.07585516928562135,0.15288353694304221,1.6833856988481577,1.6054392327217522,1.789987961191417,1.8008402896386368,1.6700934000087229,1.9154248386010058,0.09239910046945864,0.03272928634925339,0.19669126121669434
56,0.08,0.07945186151981093,0.04997900361470345,0.13242655142591087,1.7102695349520254,1.46430723172344,1.9555742043379514,1.576331221384211,1.3327463458938111,1.9523599771259323,0.20926315993612676,0.01332489166546501,0.38336898554222
57,0.081,0.06315317139007004,0.022397791597606184,0.131750623495614,1.5937767917324857,1.4616292607895378,1.7250228890094754,1.3974730274209635,0.9910988028924784,1.576781825019527,0.220168699218164,0.05470208672716715,0.36703457350990787
58,0.082,0.06378201920232816,0.02019779565243956,0.1142639079348203,1.6468782895473182,1.3386768021244912,1.8250743980322237,1.7912037968806611,1.1794838108932328,2.2502180822066213,0.2632936667851319,0.015800219136257704,0.5095059221377762
59,0.083,0.0966047627686197,0.007187533599360363,0.23909998405018437,1.6778827165939556,1.2197948704324701,1.8545479257009814,1.544537521732075,1.0883895008703086,1.71793526158872,0.20095121692635678,0.03554313164258694,0.3931154178059109
60,0.084,0.07819002791781077,0.056517839731571366,0.10020512373194611,1.6749592666091686,1.4498592203541485,1.8134967704646319,1.4873122704822694,1.2518749105801539,1.7232191795669105,0.17617340015781138,0.043690598386748714,0.37395059311694473
61,0.085,0.15192996750898488,0.01916100776768055,0.29468663085126706,1.6835040761492557,1.253409376130647,2.1529778560359683,1.5590249101755604,0.41509033732799927,1.980314302690896,0.135285278829024,0.03576616923541319,0.4292485099408261
62,0.086,0.0620769868764819,0.01850959902904046,0.11803724064745699,1.7047732343440163,1.550785695938184,1.8757267819806156,1.5175645855430766,1.3440979923237857,1.7953069616139,0.09830866994853868,0.02164963557092522,0.22078113008718078
63,0.087,0.058744275163839905,0.01616529061805177,0.17570852707414056,1.759517345932418,1.3003171894711407,2.123005663172139,1.7199399548111132,1.1589482747793622,2.464772533448891,0.26804320002984877,0.010203293193021355,0.502787823568066
64,0.088,0.06394384852470261,0.010358696506447529,0.16248521976128272,1.6779622338745406,1.5079795856233336,1.7692168789866733,1.5857320730631161,1.1079895520390208,2.087754138812618,0.09891549138774519,0.026380342352175106,0.17077444907917516
65,0.089,0.09175090310147993,0.0019929056988012956,0.19800379222698627,1.6272508221546957,1.4073290885125538,1.7888757957760888,1.4905869160198169,0.9266735883301037,2.0062641738720277,0.1821733471981557,0.0028497267460476437,0.3839231769027903
66,0.09,0.05298217121648609,0.001927680704122893,0.16733255022457635,1.6547826220836672,1.3514665740633411,1.9286029823966533,1.3183076025764722,0.0206923840108255,1.7202974476849013,0.1851606880173103,0.06202553048816216,0.2811334874915489
67,0.091,0.0841717348583419,0.01713291289193648,0.4147951555831027,1.5152397040580194,1.3321478517828573,1.7286436001385814,1.4363817030981845,1.2007587908066801,1.6494948864683503,0.20382247119292168,0.04177232654170693,0.4265705322324586
68,0.092,0.10552182790728215,0.023844922882620846,0.2126574533262672,1.6249927153661625,1.3462843882243487,1.8639153592380795,1.6054199049553741,1.0201293632045574,1.9260280687006237,0.2087657977153058,0.0856346852782497,0.31015543447785604
69,0.093,0.009534078875281066,0.009534078875281064,0.009534078875281064,1.6599671393996895,1.6599671393996893,1.6599671393996893,1.2813509507790872,1.2813509507790877,1.2813509507790877,0.45079242311851886,0.45079242311851886,0.45079242311851886
70,0.094,0.09120746020083889,0.017363726217208688,0.18905577564055487,1.6774314620701072,1.5844384224364765,1.8151697821939143,1.5433005813350384,1.3953642400366137,1.7087661536405725,0.07324686024863682,0.05215834114216434,0.14233282937852393
71,0.095,0.030286730384429007,0.009506666447210882,0.04869438715534875,1.5362399785484964,1.4616686508819554,1.6366019660059699,1.3645011607932116,1.259600110582176,1.5442598785540904,0.1099113226910272,0.026020791133666947,0.28075051649261146
72,0.096,0.1041913142330273,0.029359230354950274,0.19004702250137986,1.4818377052478409,1.3190074923138642,1.646158321460166,1.4951731701903381,1.1540244275929317,1.983058729240335,0.25185063955875586,0.010922100488506517,0.4187151148089858
73,0.097,0.08888729983421037,0.020742649193494767,0.23889993364587175,1.658662919246649,1.4025809494747192,1.8398208097437898,1.3781782731148267,1.0461558182320292,1.7527165614442746,0.18328594822390076,5.28960687780146e-05,0.42068650769170624
74,0.098,0.08664086313594217,0.04059388496219808,0.1493159167613161,1.6921137477301447,1.614874791941365,1.748860735656595,1.7339556034413266,1.4414798341387862,1.9488357604799271,0.17204549520321105,0.15856114859516676,0.19039918919749346
75,0.099,0.103695720994445,0.06351178659898593,0.15060977111417886,1.7449662260313459,1.5111638318931693,1.9169800731089521,1.6201163089832034,1.5550506622462357,1.6945343201211114,0.15010683754739113,0.07204341305193689,0.24508052556394527
76,0.1,0.11850342979056241,0.018221471901227176,0.21579354525658156,1.5835724420595878,1.2864095290399225,1.8364181553400425,1.5219467123161607,1.004719308957064,1.85920216311356,0.2127189440370095,0.004270695794471875,0.4534624533045849
77,0.101,0.10457913081115706,0.051493027516157176,0.148632650724547,1.641327860454461,1.5019385458069658,1.83539779773754,1.5805772412996657,1.0541211255529863,1.7575836630389285,0.15220845054457113,0.04147274019321182,0.3099912868764921
78,0.102,0.12558356055823708,0.024611617407924242,0.2686511537982085,1.529076576553713,1.2674479355995663,1.7593400668528678,1.4263202904900658,1.0883757079478165,1.621274641838925,0.16881779809787514,0.021354181715481566,0.4599905270334521
79,0.103,0.07447481092960075,0.010439569476410851,0.12061351017074243,1.7838576102546346,1.722051521525995,1.8867924256001527,1.6557939758558224,1.609601935438846,1.6816811614193543,0.06374877529020402,0.019142023703698094,0.1253549893265555
80,0.104,0.11804530581967099,0.005478752463673304,0.2918839447185115,1.5746455369809407,1.4688055058694556,1.8154976763742938,1.43165160053645,1.1015314382024821,1.6277882383767308,0.20830343328218345,0.0049206178913946295,0.38018538849436434
