,ph,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
13,0.048,0.17046930642477331,0.09608799085466717,0.20022183265281576,1.4334926932053182,1.4079418786259923,1.4437130190370486,1.481850267893654,1.3493323719959829,1.5348574262527226,0.20340877275934238,0.20286176419982105,0.2047762941581456
14,0.049,0.05809663670152799,0.02449800242013461,0.09742777229767403,1.4323366358909648,1.3084356328856686,1.4913585836782632,1.2177405720951133,0.9788755709378547,1.399077393723464,0.2140766692135043,0.20290903704928034,0.2302978604254187
15,0.05,0.0991967952467339,0.07483988081586081,0.19662445297022627,1.394849305224931,1.3624677455592464,1.402944695141352,1.801946979539529,1.3783388768048208,1.9078490052232064,0.23998287540640698,0.232579498075408,0.26959638473040287
16,0.051,0.04099940616614384,0.017544506103032785,0.050381366191388256,1.3749820744259567,1.3747951800120137,1.375056832191534,1.1820323952726735,1.0400645247668046,1.5369520715373464,0.32332379007001794,0.2915904678416048,0.3360171189613832
17,0.052,0.09482932738875338,0.00473478547442347,0.12486084136019669,1.440366255397349,1.3410891815467203,1.4734586133475587,1.4319558158192054,1.1757168512816456,1.5173688039983921,0.36321817127210015,0.31466426049679025,0.37940280819720346
18,0.053,0.04869763929268298,0.04869763929268299,0.04869763929268299,1.3758894615127542,1.3758894615127542,1.3758894615127542,1.5931943143505451,1.5931943143505451,1.5931943143505451,0.34222528938589347,0.34222528938589347,0.34222528938589347
19,0.054,0.0076195471870488625,0.0076195471870488625,0.0076195471870488625,1.351528879054218,1.351528879054218,1.351528879054218,1.2495066287407273,1.2495066287407273,1.2495066287407273,0.3561868199935317,0.3561868199935317,0.3561868199935317
20,0.059,0.22564159558942157,0.22564159558942157,0.22564159558942157,1.6928901437720847,1.692890143772085,1.692890143772085,1.571021862741636,1.5710218627416357,1.5710218627416357,0.4097745599707912,0.40977455997079126,0.40977455997079126
21,0.061,0.23124834765530553,0.227952124048467,0.23536862716385373,1.7109483632647868,1.5571719646123534,1.9031688615803288,1.5761547219188368,1.5184715590498747,1.6482586755050392,0.22022363057432967,0.12306499957261308,0.34167191932647545
22,0.063,0.1304874507526012,0.10644984856757105,0.1521212927191284,1.662638388936569,1.5538172185385217,1.7605774422948117,1.596699134122909,1.4460257639569245,1.7323051672722949,0.2237558643629324,0.21849677094095418,0.22959930149846375
23,0.065,0.1161452695428362,0.061782930000331866,0.19768877885659272,1.5712646153609608,1.466576621839716,1.7282966056428273,1.7888874799716992,1.532211952953689,2.1739007704987143,0.22032071491950803,0.16395446169118252,0.257898217071725
24,0.066,0.0576403326994367,0.012219358049615705,0.09913632999750478,1.6786846526381942,1.6196571943744207,1.7562420335509832,1.5752706364394056,1.3642522573199944,2.0680372599639245,0.18084630338328134,0.15720126386876151,0.23290188672613563
25,0.067,0.15721629816714128,0.15721629816714128,0.15721629816714128,1.639305494468123,1.639305494468123,1.639305494468123,1.6506962346109975,1.6506962346109975,1.6506962346109975,0.1915467893778236,0.1915467893778236,0.1915467893778236
26,0.068,0.21667247843476134,0.21182821605699392,0.22030567521808692,1.6314478152971825,1.59572528195243,1.6582397153057473,1.4831987131588455,1.4184359683810304,1.5317707717422075,0.1547594947851941,0.15103159496962967,0.15755541964686745
27,0.07,0.14651834415055234,0.03337821995830881,0.20411112228413375,1.577543231556171,1.5088343321520012,1.6355676802931385,1.4681503634050979,1.299122412246201,1.659188043180415,0.09075468480313553,0.039639448189605415,0.1214999131552172
