,uh,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
22,0.041,0.026457840309530262,0.0032191796131828764,0.04897546218988948,1.6128176801117466,1.390384305633013,1.7411692453282916,1.5521984467770356,1.2964814220221719,1.6943636949975354,0.14289211192289245,0.0630171797902451,0.27936206961651744
23,0.042,0.040372221220224415,0.018783990221502296,0.06027019747340739,1.5390126758435108,1.3460425631039261,1.67784810595807,1.457868695771011,0.8437789305249862,1.714896876094526,0.14066498500310742,0.025859000744253676,0.31309948945773897
24,0.043,0.16340690476265704,0.16340690476265704,0.16340690476265704,1.4150950616319466,1.4150950616319466,1.4150950616319466,1.3339739894076388,1.3339739894076388,1.3339739894076388,0.4307425476432048,0.4307425476432048,0.4307425476432048
25,0.044,0.06376746302091989,0.003409468120252309,0.13939650688947017,1.6642817494457554,1.3063413594202096,1.921859906985588,1.6169133546291803,1.3278562851357634,1.820532512924452,0.10995679911243621,0.04271894626214546,0.40784251905853847
26,0.045,0.12986502910334577,0.019241235459334212,0.30387100857125626,1.5183446227982684,1.3860635475601657,1.6725936882462866,1.1452320655644441,0.35965730762746245,1.5363732108155126,0.13869313972162436,0.01922438404776826,0.2971339319371989
27,0.046,0.09527139865805266,0.03686535453733797,0.2134618154424734,1.6096938215074292,1.292831200555871,1.8222597980094202,1.5688276133721857,1.3866929795936174,1.849810947471691,0.13982668631545736,0.02401609735912392,0.4698196110842741
28,0.047,0.06101794561879716,0.02827510540631847,0.09378128194189479,1.5901132099934454,1.3557470002668237,1.8286963089992558,1.1713844388032444,0.5960863472899421,1.5737188761561678,0.15323576770157393,0.031779128635533595,0.2822752265660559
29,0.048,0.07951427396632701,0.029763980567616824,0.1356482745340383,1.4226050794024612,1.184344999393831,1.5540329099911219,1.4766077990037902,0.914421307596241,1.8158450340958752,0.07521169132333025,0.032550882988703254,0.16987143274070793
30,0.049,0.14579713278317294,0.05839606725830459,0.19208287690082873,1.4758741785510772,1.4624739059058502,1.4925600452645875,1.068764537080752,0.6937786757459555,1.4458113755917343,0.14373008432873494,0.023342487990853346,0.3088028204756056
31,0.05,0.024679847240282556,5.4330894579835796e-05,0.03768533129933397,1.648167536480226,1.5139092298750354,1.75300713059185,1.5063087074766173,0.8152475411189296,1.7568610240801819,0.20989714630304349,0.060633145078992035,0.3222277761651941
32,0.051,0.07723625136075186,0.05929140499553166,0.1029714879211864,1.3245775211580144,0.8006734137639506,1.9088681316623726,0.8834193474756136,0.3081340025415539,1.736249523388356,0.37650861238577193,0.043450967895356525,0.7050934651939087
33,0.052,0.08750888307332595,0.026399767468224252,0.1546547284461627,1.5232451415208228,1.3612933249432566,1.7013425912210933,1.4631355587096193,0.8117256856461944,1.7968765640703634,0.19847689600022766,0.06137307460249511,0.3487884643469215
34,0.053,0.2004333475141792,0.2004333475141792,0.2004333475141792,1.6058352512667675,1.6058352512667675,1.6058352512667675,1.8491399242749211,1.8491399242749211,1.8491399242749211,0.01726557576295433,0.01726557576295433,0.01726557576295433
35,0.054,0.0420971633002486,0.0420971633002486,0.0420971633002486,1.3962649760238974,1.3962649760238974,1.3962649760238974,1.2954481544998602,1.29544815449986,1.29544815449986,0.28448603277613266,0.28448603277613266,0.28448603277613266
36,0.055,0.06349923849342053,0.01155925967824657,0.1588101872134958,1.5344966778321223,1.2838982807162376,1.701089009691993,1.58782825458109,1.350869451615662,1.8678582574088112,0.1489266431573139,0.0026680241006706564,0.36716671282029006
37,0.056,0.04464651076219188,0.011300998031879124,0.08243809185654634,1.4867455421225224,1.4260426018726562,1.5403069599900516,1.5611578329990228,1.5278010809072726,1.5905902613152731,0.1680830971335958,0.09032716831541325,0.25620648312753597
38,0.057,0.09352736194047041,0.03436061691410742,0.19938990768633222,1.4963279115565862,1.3353115610694637,1.7131485581066233,1.393312357817197,0.8862097916278872,2.1605106366219973,0.21495809894121518,0.038943602333698285,0.4908523844474647
39,0.058,0.09733725227787657,0.008386154326615014,0.2553893521031123,1.5380401674269868,1.3288091281965815,1.7448894898629272,1.1769971745723318,0.22286823537538633,1.7922385132489052,0.13159517505217616,0.006802728682176113,0.4319963996588436
40,0.059,0.07475603167945157,0.018643632624679506,0.1332058756760869,1.4860773094695325,1.378093344445793,1.5415149245302335,1.4157738245933373,1.3379379303020975,1.4776380502632334,0.21046335347507053,0.07220384788382939,0.47320302505685735
41,0.06,0.06284809548116642,0.012354438082206641,0.14016383025714188,1.539857455338346,1.3697898290241242,1.5875884746273943,1.4793160744067988,1.3999432839567651,1.5489231915423842,0.131229297406051,0.04863960292817528,0.4399030602357703
42,0.061,0.03315722227636885,0.0291913913943425,0.03542341135181248,1.5700610979024556,1.2839662400106853,1.7335438738406097,1.4915063815916978,1.1974423489903976,1.6595429716495835,0.35424089370230727,0.3072151898536635,0.3811127244729609
43,0.062,0.06351685318185667,0.010558325027016044,0.20885388794030665,1.3919415949713931,1.0410447124099098,1.7085183068496872,1.3124270948220687,0.9903366607977981,1.4716548592475611,0.14709024132207013,0.016904687350958143,0.5219391054684904
44,0.063,0.11422234244102011,0.06086850127804,0.2309321973278234,1.468852594037324,1.3509952646698786,1.5675975376671298,1.6834412484411854,1.475298054177103,1.798854593354172,0.1484850392298552,0.058667728916316955,0.2794596250497625
