,ah,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
14,0.319,0.22658897063921982,0.22658897063921982,0.22658897063921982,1.5861853928168776,1.5861853928168776,1.5861853928168776,1.466331959403102,1.466331959403102,1.466331959403102,0.184072554835548,0.184072554835548,0.184072554835548
15,0.32,0.137577135496002,0.038810188174248895,0.17049945126991972,1.750155093692408,1.5467111917408045,2.360486799547219,1.5782161468251836,1.1456673772428971,1.722399070019279,0.19786382213416154,0.1767010044492789,0.20491809469578912
16,0.324,0.1581999822096384,0.15819998220963843,0.15819998220963843,0.371070663352057,0.37107066335205696,0.37107066335205696,2.5397731042064056,2.5397731042064056,2.5397731042064056,3.082888917489486,3.0828889174894862,3.0828889174894862
17,0.326,0.18359136522823377,0.18359136522823377,0.18359136522823377,2.2252252509912895,2.2252252509912895,2.2252252509912895,2.207969483469908,2.207969483469908,2.207969483469908,0.02032272834016106,0.02032272834016106,0.02032272834016106
18,0.327,0.16599754697690144,0.16599754697690144,0.16599754697690144,1.1038873416875024,1.1038873416875024,1.1038873416875024,1.814969247183188,1.814969247183188,1.814969247183188,0.10004383236570874,0.10004383236570874,0.10004383236570874
19,0.331,0.25230531187025157,0.2143392038748911,0.3282375278609724,1.3502826581807446,1.1580162656857091,1.7348154431708156,1.2791922399920521,1.1881905249604723,1.4611956700552118,0.05532076432613849,0.02723329038400601,0.11149571221040344
20,0.355,0.16189177438618238,0.11345650120520002,0.17157882902237886,1.476412718726304,1.4235628222708787,1.7406622010034318,1.659184830843005,1.6416452978226097,1.7468824959449818,0.010891308722506238,0.009822546545389903,0.016235119608087906
21,0.356,0.016471248932099496,0.016471248932099496,0.016471248932099496,1.1084582824201017,1.1084582824201017,1.1084582824201017,1.6117567858119712,1.6117567858119712,1.6117567858119712,0.0012637642662192232,0.0012637642662192232,0.0012637642662192232
22,0.358,0.009157559545344243,0.009157559545344243,0.009157559545344243,1.5638874096995246,1.5638874096995246,1.5638874096995246,0.8728925262374899,0.8728925262374899,0.8728925262374899,0.04093595778808923,0.04093595778808923,0.04093595778808923
23,0.362,0.04893800947840019,0.04893800947840019,0.04893800947840019,1.1052465648433358,1.1052465648433358,1.1052465648433358,1.8157224518604238,1.8157224518604238,1.8157224518604238,0.036806261578934504,0.036806261578934504,0.036806261578934504
24,0.366,0.023747345915784437,0.023747345915784437,0.023747345915784437,1.3999353081909844,1.3999353081909844,1.3999353081909844,1.7532020150331502,1.7532020150331502,1.7532020150331502,0.051723399901491315,0.051723399901491315,0.051723399901491315
25,0.367,0.03875946720874217,0.03875946720874217,0.03875946720874217,1.6975154082285793,1.6975154082285793,1.6975154082285793,1.7099418371434094,1.7099418371434094,1.7099418371434094,0.05972012734543032,0.05972012734543032,0.05972012734543032
26,0.371,0.014453832128268477,0.014453832128268477,0.014453832128268477,1.0267553519220667,1.026755351922067,1.026755351922067,1.8993160966877136,1.899316096687714,1.899316096687714,1.173004008787363,1.1730040087873632,1.1730040087873632
27,0.372,0.029924467137068953,0.02992446713706895,0.02992446713706895,1.2759894140303318,1.2759894140303314,1.2759894140303314,6.267156589254434,6.2671565892544345,6.2671565892544345,3.1711095678607553,3.1711095678607557,3.1711095678607557
28,0.375,0.08631431237220927,0.08631431237220927,0.08631431237220927,1.4562513997782094,1.4562513997782094,1.4562513997782094,1.293480509962561,1.293480509962561,1.293480509962561,0.09289900203704703,0.09289900203704703,0.09289900203704703
29,0.379,0.019054632257274266,0.019054632257274266,0.019054632257274266,2.1861910890333998,2.1861910890333998,2.1861910890333998,1.127384344688111,1.1273843446881113,1.1273843446881113,2.303260046592429,2.3032600465924293,2.3032600465924293
30,0.383,0.15748084188005856,0.07015472949329124,0.1793123699767504,1.7247063348896816,1.5574096426657937,1.7665305079456535,1.085595870581186,0.9381697965518865,1.6753001666983836,0.12594374860145682,0.12362266439682122,0.12652401965261573
31,0.389,0.2198239229784357,0.2198239229784357,0.2198239229784357,1.7537247737173316,1.7537247737173316,1.7537247737173316,1.5203501208807295,1.5203501208807295,1.5203501208807295,0.15079232960464042,0.15079232960464042,0.15079232960464042
32,0.39,0.17917517362609328,0.09821775106283262,0.21965388490772364,1.5326311093134521,1.0992764307469836,1.7493084485966865,1.3432097876233016,1.2427188370493236,1.3934552629102903,0.14070627255699752,0.1323212448507572,0.15747632796947814
33,0.393,0.1221547445156423,0.1221547445156423,0.1221547445156423,1.6726302140993652,1.6726302140993652,1.6726302140993652,1.5585808189838173,1.5585808189838173,1.5585808189838173,0.15673925070878847,0.15673925070878847,0.15673925070878847
34,0.394,0.12498445214958427,0.12498445214958427,0.12498445214958427,1.7190457929727667,1.7190457929727667,1.7190457929727667,1.0942857851153989,1.0942857851153989,1.0942857851153989,0.24562635410861036,0.24562635410861036,0.24562635410861036
35,0.396,0.019637577642091123,0.019637577642091123,0.019637577642091123,1.1206821954327433,1.1206821954327433,1.1206821954327433,1.0619240653792394,1.0619240653792394,1.0619240653792394,0.1786731990900899,0.1786731990900899,0.1786731990900899
36,0.401,0.02392873374200947,0.02392873374200947,0.02392873374200947,1.0921312609357585,1.0921312609357585,1.0921312609357585,1.5723995516162763,1.5723995516162763,1.5723995516162763,0.20168546914816635,0.20168546914816635,0.20168546914816635
