,ah,error_dl,min_dl,max_dl,error_ac,min_ac,max_ac,error_dev,min_dev,max_dev,error_lstm,min_lstm,max_lstm
425,2.059,0.15505566946850804,0.15505566946850804,0.15505566946850804,1.0966955381195862,1.0966955381195862,1.0966955381195862,1.685853257862866,1.6858532578628662,1.6858532578628662,0.019625443063740932,0.019625443063740932,0.019625443063740932
426,2.064,0.23309746553085753,0.22843689854767318,0.23834060338693983,1.1292358909257667,0.5178925489181644,1.6726521949325244,1.2557706140119758,1.1405027881988847,1.385446918051703,0.11582596595035295,0.04530261568725124,0.17851338840644335
427,2.083,0.032053375818781614,0.03205337581878163,0.03205337581878163,0.7328293856977588,0.7328293856977588,0.7328293856977588,1.773476899229644,1.7734768992296437,1.7734768992296437,0.2848469135295132,0.28484691352951313,0.28484691352951313
428,2.118,0.09352425014945634,0.09352425014945635,0.09352425014945635,0.7274694826467558,0.7274694826467559,0.7274694826467559,2.0981196469542223,2.0981196469542227,2.0981196469542227,0.08895382882403093,0.08895382882403094,0.08895382882403094
429,2.123,0.12720562587104464,0.12720562587104464,0.12720562587104464,2.0437647494461277,2.0437647494461277,2.0437647494461277,1.1768675810664642,1.1768675810664644,1.1768675810664644,0.07849391744836083,0.07849391744836083,0.07849391744836083
430,2.128,0.11312237071587657,0.1131223707158766,0.1131223707158766,0.04186432602557242,0.04186432602557241,0.04186432602557241,1.5461869765812764,1.5461869765812757,1.5461869765812757,0.009604136096803783,0.009604136096803783,0.009604136096803783
431,2.13,0.28542255833300845,0.28542255833300845,0.28542255833300845,1.4448954290288372,1.4448954290288378,1.4448954290288378,0.10873265859272213,0.10873265859272209,0.10873265859272209,0.14394595572541413,0.1439459557254142,0.1439459557254142
432,2.146,0.008492529182255,0.008492529182255,0.008492529182255,0.9010030652263055,0.9010030652263055,0.9010030652263055,0.2567526164427628,0.2567526164427628,0.2567526164427628,0.27502525603984024,0.27502525603984024,0.27502525603984024
433,2.148,0.06413106148984954,0.06413106148984954,0.06413106148984954,0.985091773970632,0.9850917739706321,0.9850917739706321,1.3054225834966526,1.3054225834966526,1.3054225834966526,0.03708212117489066,0.03708212117489066,0.03708212117489066
434,2.151,0.04690880723635943,0.04690880723635944,0.04690880723635944,1.989541611197822,1.989541611197822,1.989541611197822,0.3777579946241196,0.37775799462411963,0.37775799462411963,0.17462151928884703,0.17462151928884706,0.17462151928884706
